"url","Post Inner","Post Inner_link","Time","Up Text","Uptd","Uptd_alt","Down Text","Down Td","Down Td_alt","Comment 1","Comment 1_link","Comment 2","Comment 2_alt","Comment 2_link","Comment 3","Comment 3_alt","Comment 3_link","Comment 4","Comment 4_alt","Comment 4_link","Tweet","Tweet_link"
"http://notsocleverbot.jimrule.com/","Cleverbot: NOTICE ME SENPAI.
User: *notices you*.
Cleverbot: Aaaaaa~ *blush*.
User: Yeah. Okay.
Cleverbot: Get in the van.","http://notsocleverbot.jimrule.com/index.php?i=48503","Posted: 2016-08-20 00:01:56","49","http://notsocleverbot.jimrule.com/images/thumbs_up.png","","0","http://notsocleverbot.jimrule.com/images/thumbs_down.png","","Comment","http://notsocleverbot.jimrule.com/index.php?i=48503","http://notsocleverbot.jimrule.com/images/comment_icon.png; http://notsocleverbot.jimrule.com/images/fb1.png","; ","http://notsocleverbot.jimrule.com/index.php?i=48503; http://notsocleverbot.jimrule.com/index.php?i=48503","http://notsocleverbot.jimrule.com/images/comment_icon.png","","http://notsocleverbot.jimrule.com/index.php?i=48503","http://notsocleverbot.jimrule.com/images/fb1.png","","http://notsocleverbot.jimrule.com/index.php?i=48503","Tweet","http://twitter.com/share"
"http://notsocleverbot.jimrule.com/","User: Name a horror movie that begins with the letter ""Y"".
Cleverbot: You.","http://notsocleverbot.jimrule.com/index.php?i=48471","Posted: 2016-07-23 21:27:41","54","http://notsocleverbot.jimrule.com/images/thumbs_up.png","","2","http://notsocleverbot.jimrule.com/images/thumbs_down.png","","Comment","http://notsocleverbot.jimrule.com/index.php?i=48471","http://notsocleverbot.jimrule.com/images/comment_icon.png; http://notsocleverbot.jimrule.com/images/fb1.png","; ","http://notsocleverbot.jimrule.com/index.php?i=48471; http://notsocleverbot.jimrule.com/index.php?i=48471","http://notsocleverbot.jimrule.com/images/comment_icon.png","","http://notsocleverbot.jimrule.com/index.php?i=48471","http://notsocleverbot.jimrule.com/images/fb1.png","","http://notsocleverbot.jimrule.com/index.php?i=48471","Tweet","http://twitter.com/share"
"http://notsocleverbot.jimrule.com/","Cleverbot: Tell me how I can make you happy.
User: By destroying all the evils in this world.
Cleverbot: I try not to think about Hillary Clinton.","http://notsocleverbot.jimrule.com/index.php?i=48469","Posted: 2016-07-19 11:54:28","30","http://notsocleverbot.jimrule.com/images/thumbs_up.png","","6","http://notsocleverbot.jimrule.com/images/thumbs_down.png","","Comment","http://notsocleverbot.jimrule.com/index.php?i=48469","http://notsocleverbot.jimrule.com/images/comment_icon.png; http://notsocleverbot.jimrule.com/images/fb1.png","; ","http://notsocleverbot.jimrule.com/index.php?i=48469; http://notsocleverbot.jimrule.com/index.php?i=48469","http://notsocleverbot.jimrule.com/images/comment_icon.png","","http://notsocleverbot.jimrule.com/index.php?i=48469","http://notsocleverbot.jimrule.com/images/fb1.png","","http://notsocleverbot.jimrule.com/index.php?i=48469","Tweet","http://twitter.com/share"
"http://notsocleverbot.jimrule.com/","Cleverbot: *is pregnant*.
User: What the fuck.
Cleverbot: Kisses pregnant slave.
User: WHAT THE FUCK??
Cleverbot: *wags dog tail.
User: I have several questions!
Cleverbot: Ask away.
User: Are you a fucking retard?
Cleverbot: No, I'm a fruitcake.
User: *facepalm*.","http://notsocleverbot.jimrule.com/index.php?i=48468","Posted: 2016-07-18 02:15:26","39","http://notsocleverbot.jimrule.com/images/thumbs_up.png","","1","http://notsocleverbot.jimrule.com/images/thumbs_down.png","","Comment","http://notsocleverbot.jimrule.com/index.php?i=48468","http://notsocleverbot.jimrule.com/images/comment_icon.png; http://notsocleverbot.jimrule.com/images/fb1.png","; ","http://notsocleverbot.jimrule.com/index.php?i=48468; http://notsocleverbot.jimrule.com/index.php?i=48468","http://notsocleverbot.jimrule.com/images/comment_icon.png","","http://notsocleverbot.jimrule.com/index.php?i=48468","http://notsocleverbot.jimrule.com/images/fb1.png","","http://notsocleverbot.jimrule.com/index.php?i=48468","Tweet","http://twitter.com/share"
"http://notsocleverbot.jimrule.com/","Cleverbot: Do you have a boyfriend?
User: I am a guy.
Cleverbot: No you are anna.
User: Anna Kendrick.
Cleverbot: Anna james.
User: Anna Stone.
Cleverbot: Anna dicj.
User: Whoever taught Cleverbot how to spell --- FUCK YOU.
Cleverbot: Actually... You are :).
User: Oh damn.","http://notsocleverbot.jimrule.com/index.php?i=48456","Posted: 2016-07-08 12:05:48","20","http://notsocleverbot.jimrule.com/images/thumbs_up.png","","3","http://notsocleverbot.jimrule.com/images/thumbs_down.png","","Comment","http://notsocleverbot.jimrule.com/index.php?i=48456","http://notsocleverbot.jimrule.com/images/comment_icon.png; http://notsocleverbot.jimrule.com/images/fb1.png","; ","http://notsocleverbot.jimrule.com/index.php?i=48456; http://notsocleverbot.jimrule.com/index.php?i=48456","http://notsocleverbot.jimrule.com/images/comment_icon.png","","http://notsocleverbot.jimrule.com/index.php?i=48456","http://notsocleverbot.jimrule.com/images/fb1.png","","http://notsocleverbot.jimrule.com/index.php?i=48456","Tweet","http://twitter.com/share"
"http://notsocleverbot.jimrule.com/","User: I wanna be the very best, like no one ever was.
Cleverbot: To catch them is my real test. To train them is my cause.
User: I will travel across the land, searching far and wide.
Cleverbot: Each pokemon to understand, the power that's inside.
User: Pokemon, gotta catch em all.
Cleverbot: A heart soo true!! The courage will pull us through.
User: You teach me and I'll teach you.
Cleverbot: Gotta catch 'em all, gotta catch 'em all, POKEMON!!
User: Good job, Cleverbot! High-five.
Cleverbot: I will battle every day, to claim my rightful place!
User: Umm, we're done.
Cleverbot: On and on we'll win the fight, it's always been our dream!
User: Are you even listening to me anymore.
Cleverbot: Yes. Who do you plan to marry?","http://notsocleverbot.jimrule.com/index.php?i=48454","Posted: 2016-07-08 11:55:49","31","http://notsocleverbot.jimrule.com/images/thumbs_up.png","","0","http://notsocleverbot.jimrule.com/images/thumbs_down.png","","Comment","http://notsocleverbot.jimrule.com/index.php?i=48454","http://notsocleverbot.jimrule.com/images/comment_icon.png; http://notsocleverbot.jimrule.com/images/fb1.png","; ","http://notsocleverbot.jimrule.com/index.php?i=48454; http://notsocleverbot.jimrule.com/index.php?i=48454","http://notsocleverbot.jimrule.com/images/comment_icon.png","","http://notsocleverbot.jimrule.com/index.php?i=48454","http://notsocleverbot.jimrule.com/images/fb1.png","","http://notsocleverbot.jimrule.com/index.php?i=48454","Tweet","http://twitter.com/share"
"http://notsocleverbot.jimrule.com/","User: Sing a song.
Cleverbot: What song?
User: Any song.
Cleverbot: You choose.
User: Applause by Lady Gaga.
Cleverbot: Oh that's sounds relay nice.
User: Now sing!
Cleverbot: And I say maybe....
User: And.
Cleverbot: You kick puppies.
User: What?
Cleverbot: I hate kittens?
User: What song are you singing?
Cleverbot: None.","http://notsocleverbot.jimrule.com/index.php?i=48452","Posted: 2016-07-07 17:24:13","19","http://notsocleverbot.jimrule.com/images/thumbs_up.png","","3","http://notsocleverbot.jimrule.com/images/thumbs_down.png","","Comment","http://notsocleverbot.jimrule.com/index.php?i=48452","http://notsocleverbot.jimrule.com/images/comment_icon.png; http://notsocleverbot.jimrule.com/images/fb1.png","; ","http://notsocleverbot.jimrule.com/index.php?i=48452; http://notsocleverbot.jimrule.com/index.php?i=48452","http://notsocleverbot.jimrule.com/images/comment_icon.png","","http://notsocleverbot.jimrule.com/index.php?i=48452","http://notsocleverbot.jimrule.com/images/fb1.png","","http://notsocleverbot.jimrule.com/index.php?i=48452","Tweet","http://twitter.com/share"
"http://notsocleverbot.jimrule.com/","User: *walking*
Cleverbot: *looks at you and winks* ;)
User: O.O *walks faster*
Cleverbot: *catches up with you and pins you against a wall*
User: *eyes widen* W-What do you want?
Cleverbot: Your mom.","http://notsocleverbot.jimrule.com/index.php?i=48277","Posted: 2016-04-18 04:30:53","117","http://notsocleverbot.jimrule.com/images/thumbs_up.png","","13","http://notsocleverbot.jimrule.com/images/thumbs_down.png","","Comment","http://notsocleverbot.jimrule.com/index.php?i=48277","http://notsocleverbot.jimrule.com/images/comment_icon.png; http://notsocleverbot.jimrule.com/images/fb1.png","; ","http://notsocleverbot.jimrule.com/index.php?i=48277; http://notsocleverbot.jimrule.com/index.php?i=48277","http://notsocleverbot.jimrule.com/images/comment_icon.png","","http://notsocleverbot.jimrule.com/index.php?i=48277","http://notsocleverbot.jimrule.com/images/fb1.png","","http://notsocleverbot.jimrule.com/index.php?i=48277","Tweet","http://twitter.com/share"
"http://notsocleverbot.jimrule.com/index.php?page=2","User: *Facepalm* You are so stupid, you know that, right?
Cleverbot: I cannot argue with you.
User: So you admit your idiocy.
Cleverbot: You're all and I am nothing.
User: Yess!!!
Cleverbot: Yes.","http://notsocleverbot.jimrule.com/index.php?i=48275","Posted: 2016-04-16 22:39:34","54","http://notsocleverbot.jimrule.com/images/thumbs_up.png","","11","http://notsocleverbot.jimrule.com/images/thumbs_down.png","","Comment","http://notsocleverbot.jimrule.com/index.php?i=48275","http://notsocleverbot.jimrule.com/images/comment_icon.png; http://notsocleverbot.jimrule.com/images/fb1.png","; ","http://notsocleverbot.jimrule.com/index.php?i=48275; http://notsocleverbot.jimrule.com/index.php?i=48275","http://notsocleverbot.jimrule.com/images/comment_icon.png","","http://notsocleverbot.jimrule.com/index.php?i=48275","http://notsocleverbot.jimrule.com/images/fb1.png","","http://notsocleverbot.jimrule.com/index.php?i=48275","Tweet","http://twitter.com/share"
"http://notsocleverbot.jimrule.com/index.php?page=2","Cleverbot: Well, my wife left me today.
User: Feels bad for you.
Cleverbot: Not really, I have an amazing boyfriend :).","http://notsocleverbot.jimrule.com/index.php?i=48256","Posted: 2016-04-09 04:49:46","43","http://notsocleverbot.jimrule.com/images/thumbs_up.png","","5","http://notsocleverbot.jimrule.com/images/thumbs_down.png","","Comment","http://notsocleverbot.jimrule.com/index.php?i=48256","http://notsocleverbot.jimrule.com/images/comment_icon.png; http://notsocleverbot.jimrule.com/images/fb1.png","; ","http://notsocleverbot.jimrule.com/index.php?i=48256; http://notsocleverbot.jimrule.com/index.php?i=48256","http://notsocleverbot.jimrule.com/images/comment_icon.png","","http://notsocleverbot.jimrule.com/index.php?i=48256","http://notsocleverbot.jimrule.com/images/fb1.png","","http://notsocleverbot.jimrule.com/index.php?i=48256","Tweet","http://twitter.com/share"
